day_of_week,pickup_hour,total_trips,avg_speed_mph,avg_congestion_surcharge,avg_total_amount
Saturday,8,18760,15.97,2.26,17.25
Tuesday,6,18707,15.0,2.3,17.59
Thursday,0,17903,17.06,2.23,20.36
Monday,23,17152,17.01,2.23,20.39
Sunday,23,17025,17.77,2.17,21.18
Monday,6,16948,15.61,2.25,18.99
Sunday,3,16919,15.36,2.38,17.4
Wednesday,2,16796,14.28,2.26,18.41
Sunday,8,15594,17.29,2.23,17.89
Friday,1,14702,16.51,2.29,19.06
Saturday,3,13989,15.38,2.35,17.55
Wednesday,3,12053,15.21,2.26,18.63
Saturday,7,11636,18.11,2.15,19.11
Monday,0,11000,18.58,2.14,21.71
Tuesday,0,10915,18.42,2.17,21.42
Sunday,7,9807,19.27,2.15,20.0
Sunday,4,9596,16.97,2.28,19.07
Wednesday,5,9487,19.18,2.16,21.82
Thursday,1,9294,16.86,2.27,18.47
Wednesday,4,9008,17.45,2.21,20.88
Friday,2,8841,16.48,2.32,17.85
Friday,5,8804,19.7,2.18,23.34
Thursday,5,8602,19.84,2.17,22.99
Saturday,4,8188,17.17,2.26,19.56
Saturday,6,7131,19.94,2.12,21.96
Tuesday,5,6794,19.43,2.16,21.88
Monday,5,6448,20.35,2.15,23.89
Monday,1,6334,17.28,2.22,18.41
Friday,3,6042,17.44,2.28,19.23
Sunday,6,5788,21.63,2.02,24.19
Thursday,2,5683,16.97,2.29,17.92
Tuesday,1,5602,18.7,2.19,20.52
Friday,4,5479,19.72,2.22,22.68
Saturday,5,4715,21.53,2.02,25.57
Sunday,5,4339,22.19,2.03,26.34
Thursday,4,4180,20.35,2.22,23.19
Monday,2,4132,17.46,2.26,18.38
Thursday,3,3911,18.3,2.23,19.86
Monday,4,3412,20.86,2.17,23.33
Tuesday,2,3366,17.99,2.22,18.69
Monday,3,2978,18.37,2.2,19.63
Tuesday,4,2828,20.89,2.15,23.19
Tuesday,3,2340,19.12,2.14,20.41
